code,link,name,level
03_If_001,https://drive.google.com/file/d/1d5UnfelndV7lFHFTRvd7f7u0Ydoza1Be/view?usp=drive_link,Median 5 (Flowchart),1.0
03_If_002,https://drive.google.com/file/d/1GrvuJt4-An6P7JUJnEC1XjJx5QD10qkE/view?usp=drive_link,Next 15 Days (Flowchart),2.0
03_If_003,https://drive.google.com/file/d/1l07PXjTYDAtB-47kj5TYaND1fjoN4aNf/view?usp=drive_link,Flowchart 01,2.0
03_If_004,https://drive.google.com/file/d/14_Pg6vVEWRJsU7xos2TVaS4kFKLlo6VR/view?usp=drive_link,Grading (Flowchart),1.0
03_If_01,https://drive.google.com/file/d/1gaO4DP7RnEK3iSsQxbygcjpM3MopJDBe/view?usp=drive_link,Faculty Code,1.0
03_If_02,https://drive.google.com/file/d/1yA8yH-Dgw-BvW8xSvtdKQ4XUjsrqT13-/view?usp=drive_link,Change of Major,2.0
03_If_03,https://drive.google.com/file/d/1p7OQvLjJEf3w8mZ927Vc2ImtmJTkadFw/view?usp=drive_link,Gymnastic Score,1.0
03_If_04,https://drive.google.com/file/d/1uZSbjfMcACfcXKunBZOUlSJ9o_u8f6dI/view?usp=drive_link,Mobile Number,1.0
03_If_05,https://drive.google.com/file/d/1-w1HptsNkzy_eq6wnbFf00X6_61K9N9C/view?usp=drive_link,Positive Negative,1.0
03_If_06,https://drive.google.com/file/d/1xz-1_3ylH51G0jv7eHDlA-QwxgPmTye4/view?usp=drive_link,Registered Mail,1.0
03_If_07,https://drive.google.com/file/d/1mDTCZmWLDeGtuSMLp3g2CcJFYdxafpjL/view?usp=drive_link,Abbrev Num,2.0
03_If_08,https://drive.google.com/file/d/1Y-dUBpKXE_nL5rr4VhvLC16gTVQh4iNN/view?usp=drive_link,Day of Year,2.0
03_If_09,https://drive.google.com/file/d/1iNe8zm7YXL6f3v8zNprtORTkdR05Qu8G/view?usp=drive_link,Biorhythm,3.0
03_If_F02,https://drive.google.com/file/d/1nQPh-_8_xB0CoRFRaLPMdGSMfGRpBB1v/view?usp=drive_link,Change of Major (Function),2.0
03_If_F04,https://drive.google.com/file/d/1nJf0GqWEV3IHCcDDBfRxQtskxCcAhF00/view?usp=drive_link,Mobile Number (Function),1.0
03_If_F08,https://drive.google.com/file/d/1RVKPo_LIe7Rztuj5s4-bM5jrY8qpN_vG/view?usp=drive_link,Day of Year (Function),2.0
