code,link,name,level
10_TSD_12,https://drive.google.com/file/d/1oa1clo95mX24uYK4xUEI-aN3lxRzarnW/view?usp=drive_link,Union Intersection,1.0
10_TSD_13,https://drive.google.com/file/d/1WZFAdB_0dZ0niGUEbE1tPmyu4GFuwu3w/view?usp=drive_link,Winner,1.0
10_TSD_14,https://drive.google.com/file/d/1sVM1L8WTU6poZMnUgH2q4Ru3ynjeVz0j/view?usp=drive_link,Database,1.5
10_TSD_23,https://drive.google.com/file/d/1IkcX66v3vl9U20yYVMldH4gmyXqXDxpI/view?usp=drive_link,Genre Total Playtime,2.0
10_TSD_24,https://drive.google.com/file/d/1-d45vrVJgudHhNZWBcjlpOO7604YnSpC/view?usp=drive_link,Cartoon,2.0
10_TSD_26,https://drive.google.com/file/d/1q6ZCJdDag9yIrOAhdH0dGYcXHTZxTHKG/view?usp=drive_link,Location Analysis,2.0
10_TSD_27,https://drive.google.com/file/d/11ysKVt-jorwWKFFLZj7iKNLzwwAtZHUK/view?usp=drive_link,Celebrity,2.0
10_TSD_33,https://drive.google.com/file/d/1NzHodyfvlrIU49Ooqf5xPqe2ys6ujKb7/view?usp=drive_link,Polynomial,3.0
10_TSD_35,https://drive.google.com/file/d/15menRq_5rcVxJTHJ2-CBhOH0zxlM_o3W/view?usp=drive_link,Student Info,3.0
10_TSD_37,https://drive.google.com/file/d/1mYbLWSQPXZ6fMd695eUBCXmvSU6TGqNN/view?usp=drive_link,Department Selection,3.0
10_TSD_38,https://drive.google.com/file/d/12Ak3Xe47gusCPmwAtTIi9WSXiHrxCNHp/view?usp=drive_link,Sky Train,3.0
