code,link,name,level
P3_01_Gray,https://drive.google.com/file/d/1wtcfvhjixQCCNLIbgYGeM6CuGrg597gz/view?usp=drive_link,Gray Codes,3.0
P3_02_Checker,https://drive.google.com/file/d/1yxHWqPdlpDYGA5fi5GwBWQIgUZU1_xvg/view?usp=drive_link,Giant Checker,3.0
P3_03_Text,https://drive.google.com/file/d/1QGJZXr-JWt5Q5TsxwuGSbMgivmjtX_z_/view?usp=drive_link,Text Formatting,3.0
P3_04_Ascii,https://drive.google.com/file/d/19OKv5YMBBL2tA_5PuhJFt6fX69pJdM4d/view?usp=drive_link,ASCII Text,3.0
P3_05_Spiral,https://drive.google.com/file/d/1R_KGdDjiZfEVLHv9dntXGvGLEBCq6aeb/view?usp=drive_link,Spiral Square,3.5
P3_06_MovieStar,https://drive.google.com/file/d/1DK_DCEgW6pIdlKQ9rGdqh4aLln2Cs7Lr/view?usp=drive_link,Movie Stars,2.0
P3_07_Search,https://drive.google.com/file/d/1QUqzKH_17u-sY_sTCGyMRoe2W_uh2dC9/view?usp=drive_link,Search Engine,2.0
P3_08_Bidding,https://drive.google.com/file/d/1ERinoNzOYUVL2pBiceM8YmRaSHNoq4iW/view?usp=drive_link,Bidding,3.5
P3_09_BNK48,https://drive.google.com/file/d/1bTrlKl6DU7X-fDITSiY6FWAyg8p-iCY0/view?usp=drive_link,BNK48,3.5
P3_10_Numpy1,https://drive.google.com/file/d/11DYcIuGS3OW7Lmzh3iQ9qowKcyepHfQW/view?usp=drive_link,NumPy Functions,3.0
,,,
,,,
,,,
,,,
