| No. | Problem Code | Name | Difficulty | Solution |
| :---: | :--- | :--- | :--- | :--- |
| 1 | [`03_If_001`](https://drive.google.com/file/d/1d5UnfelndV7lFHFTRvd7f7u0Ydoza1Be/view?usp=drive_link) | **Median 5 (Flowchart)** | ★ | [`Solution`](/03-Selection/03_If_001/README.md) |
| 2 | [`03_If_002`](https://drive.google.com/file/d/1GrvuJt4-An6P7JUJnEC1XjJx5QD10qkE/view?usp=drive_link) | **Next 15 Days (Flowchart)** | ★★ | [`Solution`](/03-Selection/03_If_002/README.md) |
| 3 | [`03_If_003`](https://drive.google.com/file/d/1l07PXjTYDAtB-47kj5TYaND1fjoN4aNf/view?usp=drive_link) | **Flowchart 01** | ★★ | [`Solution`](/03-Selection/03_If_003/README.md) |
| 4 | [`03_If_004`](https://drive.google.com/file/d/14_Pg6vVEWRJsU7xos2TVaS4kFKLlo6VR/view?usp=drive_link) | **Grading (Flowchart)** | ★ | [`Solution`](/03-Selection/03_If_004/README.md) |
| 5 | [`03_If_01`](https://drive.google.com/file/d/1gaO4DP7RnEK3iSsQxbygcjpM3MopJDBe/view?usp=drive_link) | **Faculty Code** | ★ | [`Solution`](/03-Selection/03_If_01/README.md) |
| 6 | [`03_If_02`](https://drive.google.com/file/d/1yA8yH-Dgw-BvW8xSvtdKQ4XUjsrqT13-/view?usp=drive_link) | **Change of Major** | ★★ | [`Solution`](/03-Selection/03_If_02/README.md) |
| 7 | [`03_If_03`](https://drive.google.com/file/d/1p7OQvLjJEf3w8mZ927Vc2ImtmJTkadFw/view?usp=drive_link) | **Gymnastic Score** | ★ | [`Solution`](/03-Selection/03_If_03/README.md) |
| 8 | [`03_If_04`](https://drive.google.com/file/d/1uZSbjfMcACfcXKunBZOUlSJ9o_u8f6dI/view?usp=drive_link) | **Mobile Number** | ★ | [`Solution`](/03-Selection/03_If_04/README.md) |
| 9 | [`03_If_05`](https://drive.google.com/file/d/1-w1HptsNkzy_eq6wnbFf00X6_61K9N9C/view?usp=drive_link) | **Positive Negative** | ★ | [`Solution`](/03-Selection/03_If_05/README.md) |
| 10 | [`03_If_06`](https://drive.google.com/file/d/1xz-1_3ylH51G0jv7eHDlA-QwxgPmTye4/view?usp=drive_link) | **Registered Mail** | ★ | [`Solution`](/03-Selection/03_If_06/README.md) |
| 11 | [`03_If_07`](https://drive.google.com/file/d/1mDTCZmWLDeGtuSMLp3g2CcJFYdxafpjL/view?usp=drive_link) | **Abbrev Num** | ★★ | [`Solution`](/03-Selection/03_If_07/README.md) |
| 12 | [`03_If_08`](https://drive.google.com/file/d/1Y-dUBpKXE_nL5rr4VhvLC16gTVQh4iNN/view?usp=drive_link) | **Day of Year** | ★★ | [`Solution`](/03-Selection/03_If_08/README.md) |
| 13 | [`03_If_09`](https://drive.google.com/file/d/1iNe8zm7YXL6f3v8zNprtORTkdR05Qu8G/view?usp=drive_link) | **Biorhythm** | ★★★ | [`Solution`](/03-Selection/03_If_09/README.md) |
| 14 | [`03_If_F02`](https://drive.google.com/file/d/1nQPh-_8_xB0CoRFRaLPMdGSMfGRpBB1v/view?usp=drive_link) | **Change of Major (Function)** | ★★ | [`Solution`](/03-Selection/03_If_F02/README.md) |
| 15 | [`03_If_F04`](https://drive.google.com/file/d/1nJf0GqWEV3IHCcDDBfRxQtskxCcAhF00/view?usp=drive_link) | **Mobile Number (Function)** | ★ | [`Solution`](/03-Selection/03_If_F04/README.md) |
| 16 | [`03_If_F08`](https://drive.google.com/file/d/1RVKPo_LIe7Rztuj5s4-bM5jrY8qpN_vG/view?usp=drive_link) | **Day of Year (Function)** | ★★ | [`Solution`](/03-Selection/03_If_F08/README.md) |
