| No. | Problem Code | Name | Difficulty | Solution |
| :---: | :--- | :--- | :--- | :--- |
| 1 | [`P1_01_Older`](https://drive.google.com/file/d/1YN9OMxSfGfOwWz8Qk8Hn3UuJl-xrfQ6D/view?usp=drive_link) | **Older** | ★☆ | [`Solution`](/P1-Grader-01-Practice/P1_01_Older/README.md) |
| 2 | [`P1_02_RLE`](https://drive.google.com/file/d/1xbPthJmwu74ThTo_pm99cJfS2WJHIkOE/view?usp=drive_link) | **RLE** | ★★ | [`Solution`](/P1-Grader-01-Practice/P1_02_RLE/README.md) |
| 3 | [`P1_03_RSP`](https://drive.google.com/file/d/12H-09gh_qRohC_q6lgplcSfxFSmCxuY0/view?usp=drive_link) | **Rock Scissor Paper** | ★★ | [`Solution`](/P1-Grader-01-Practice/P1_03_RSP/README.md) |
| 4 | [`P1_04_Bowling`](https://drive.google.com/file/d/18Cp6jlm1gYagaPjU0R_lsE9imFCTqFoK/view?usp=drive_link) | **Bowling** | ★★★ | [`Solution`](/P1-Grader-01-Practice/P1_04_Bowling/README.md) |
| 5 | [`P1_05_Golf`](https://drive.google.com/file/d/1wTfOJEajV7A6x-R_k33MWWbuWgFoDuwP/view?usp=drive_link) | **Golf** | ★★ | [`Solution`](/P1-Grader-01-Practice/P1_05_Golf/README.md) |
| 6 | [`P1_06_RotateString`](https://drive.google.com/file/d/1Ms1AhMxEaiGeOR3I9wMfwIeC27iwGTCP/view?usp=drive_link) | **Rotate String** | ★★★ | [`Solution`](/P1-Grader-01-Practice/P1_06_RotateString/README.md) |
| 7 | [`P1_Flowchart_01`](https://drive.google.com/file/d/1LTZjlET9UDzyOCV-XCcw5ukS03xLicy8/view?usp=drive_link) | **Flowchart 01** | ★★ | [`Solution`](/P1-Grader-01-Practice/P1_Flowchart_01/README.md) |
| 8 | [`P1_Flowchart_02`](https://drive.google.com/file/d/10ygmFflkrf_beWnxtfczsVP6onvTbVPt/view?usp=drive_link) | **Flowchart 02** | ★★★ | [`Solution`](/P1-Grader-01-Practice/P1_Flowchart_02/README.md) |
| 9 | [`P1_Flowchart_03`](https://drive.google.com/file/d/1h9FVdIoXd1Sew3hEIA2HOZn4YEAuH7Zz/view?usp=drive_link) | **Flowchart 03** | ★★★ | [`Solution`](/P1-Grader-01-Practice/P1_Flowchart_03/README.md) |
| 10 | [`P1_Flowchart_04`](https://drive.google.com/file/d/1ewNjgseKYUbSUJieJcFZ9nQlUid5RIi7/view?usp=drive_link) | **Flowchart 04** | ★★★ | [`Solution`](/P1-Grader-01-Practice/P1_Flowchart_04/README.md) |
| 11 | [`P1_Flowchart_05`](https://drive.google.com/file/d/1T8XUIE2KrZdtBEJe03U3azGay_2ETvbN/view?usp=drive_link) | **Flowchart 05** | ★★★ | [`Solution`](/P1-Grader-01-Practice/P1_Flowchart_05/README.md) |
